,Date,No_play
0,2022-07-10,26
1,2022-05-10,13
2,2022-05-08,8
3,2022-07-11,7
4,2022-05-07,5
5,2022-05-16,4
6,2022-05-24,3
7,2022-05-09,2
8,2022-05-23,2
